Complaint,Category,,,,,
can I get a trial for your platform?,Subscriptions,,,,,
I want to cancel my recurring service plan!,Subscriptions,,,,,
I want to enable multi-factor authentication for better protection.,Security and Privacy,,,,,
Why is the inventory count wrong on the screen?,Inventory,,,,,
i keep getting suspicious emails claiming to be from you!,Security and Privacy,,,,,
I need a breakdown of the costs on my latest bank statement.,Billing & Transaction Problems,,,,,
I opened the box and the article was gone!,Product Integrity & Accuracy,,,,,
i'm getting a connection error when I click the submit button.,Technical Issues,,,,,
internal server system crash is preventing me from finishing my log in.,Technical Issues,,,,,
i want to use my store credit for this order.,Promotions,,,,,
I can't view my cart because the online shop is too slow!,Technical Issues,,,,,
"Hello, there is a bug in the mobile app's latest update.",Technical Issues,,,,,
can I change my handle on the website?,Account & Profile Management,,,,,
"I'm sorry, but I want to request a copy of all the personal data you have on me.",Security and Privacy,,,,,
My automatic payment is turned off but I was still billed.,Subscriptions,,,,,
this article seems to be a used unit instead of new!,Product Integrity & Accuracy,,,,,
The site says in stock but it's actually on waiting list!,Inventory,,,,,
my subscription perks are not working correctly.,Subscriptions,,,,,
"Hi, the invite credit was not added to my membership.",Promotions,,,,,
"I'm sorry, but Can you apply this price reduction manually to my buy?",Promotions,,,,,
the software is stuck on the processing screen forever!,Technical Issues,,,,,
"Hi, i opened the box and the unit was gone!",Product Integrity & Accuracy,,,,,
"Hello, The delivery driver lost my package and I need help.",Delivery,,,,,
"Hi, Can I get a free test for your app?",Subscriptions,,,,,
"Excuse me, My purchase stuck and it hasn't arrived yet.",Delivery,,,,,
i want to use my store credit for this buy.,Promotions,,,,,
the product looks nothing like the picture on the website.,Product Integrity & Accuracy,,,,,
the product was stopped right after I bought it.,Inventory,,,,,
The application is stuck on the buffering screen forever!,Technical Issues,,,,,
Why is my delivery delayed in local depot?,Delivery,,,,,
My checkout was declined but the money was deducted from my bank!,Billing & Transaction Problems,,,,,
the website keeps freezing whenever I try to view my cart!,Technical Issues,,,,,
"I'm sorry, but I didn't get a alert before my renewal charge.",Subscriptions,,,,,
"Hello, I can't modify my mobile on the membership settings.",Account & Profile Management,,,,,
"Hi, this article seems to be a pre-owned unit instead of new.",Product Integrity & Accuracy,,,,,
"Hi, the pay button on the cart page is not working.",Technical Issues,,,,,
how do I pause my membership for a few months?,Subscriptions,,,,,
"Hello, my promo code is not applying to my order.",Promotions,,,,,
why is my delivery delayed in warehouse?,Delivery,,,,,
Is this product a limited edition or will more be made?,Inventory,,,,,
my credit card was charged the wrong amount.,Billing & Transaction Problems,,,,,
"I'm sorry, but i cannot find where to manage my personal info.",Account & Profile Management,,,,,
"Hi, how do I pause my access for a few months?",Subscriptions,,,,,
is this unit a limited version or will more be manufactured?,Inventory,,,,,
Part of the set is missing from the box.,Product Integrity & Accuracy,,,,,
"Hello, This unit seems to be a used unit instead of new!",Product Integrity & Accuracy,,,,,
i want to request a copy of all the private info you have on me.,Security and Privacy,,,,,
"Hi, How do I start a send back for a good I don't want?",Refund & Returns,,,,,
i was told that the item is missing after I checked out.,Inventory,,,,,
"Hi, I want to switch my payment term from recurring to yearly.",Subscriptions,,,,,
"Hi, where is my box? The delivery tracking says it is local depot.",Delivery,,,,,
my order has been out for delivery for three days now.,Delivery,,,,,
this product seems to be a used unit instead of new!,Product Integrity & Accuracy,,,,,
I want to exchange my good for a different size!,Refund & Returns,,,,,
My purchase stuck and it hasn't arrived yet!,Delivery,,,,,
"I'm sorry, but how do I link my Facebook to my profile?",Account & Profile Management,,,,,
my checkout was failed but the money was withdrawn from my bank.,Billing & Transaction Problems,,,,,
the page times out every time I refresh it!,Technical Issues,,,,,
"Hello, i see a suspicious charge from your site on my bank statement.",Billing & Transaction Problems,,,,,
The app showed a transaction error during checkout.,Billing & Transaction Problems,,,,,
"Hello, I need a breakdown of the costs on my latest billing history!",Billing & Transaction Problems,,,,,
"I'm sorry, but Can you explain this account charges error on my account?",Billing & Transaction Problems,,,,,
i didn't get the bonus with my purchase!,Promotions,,,,,
I think my membership has been stolen or breached.,Security and Privacy,,,,,
The courier lost my shipment and I need help.,Delivery,,,,,
i need to recover my password immediately!,Security and Privacy,,,,,
why was I invoiced for a subscription I already ended?,Subscriptions,,,,,
I haven't received my money back yet for the shipped back item!,Refund & Returns,,,,,
Why was my data shared with a third party without permission?,Security and Privacy,,,,,
"Excuse me, I requested a reimbursement a week ago and haven't heard back.",Refund & Returns,,,,,
Your refund policy says I have 30 days to exchange this.,Refund & Returns,,,,,
"Hi, i need a return label for my parcel.",Refund & Returns,,,,,
i think my account has been compromised or breached.,Security and Privacy,,,,,
Someone made an fraudulent order using my profile.,Security and Privacy,,,,,
"Hello, i need a return label for my shipment!",Refund & Returns,,,,,
Why is my delivery postponed in transit?,Delivery,,,,,
"I'm sorry, but the cost at checkout didn't match the cost on the product page.",Billing & Transaction Problems,,,,,
"I'm sorry, but I need to change my delivery location for all future orders.",Account & Profile Management,,,,,
The referral credit was not added to my membership!,Promotions,,,,,
"Hi, My promo code is not applying to my purchase.",Promotions,,,,,
There is a technical issue in the mobile app's latest update.,Technical Issues,,,,,
The product looks nothing like the advertised image on the storefront.,Product Integrity & Accuracy,,,,,
"Hello, Can I change my login ID on the platform?",Account & Profile Management,,,,,
"Hello, i opened the packaging and the article was missing.",Product Integrity & Accuracy,,,,,
I want to use my store credit for this order.,Promotions,,,,,
The availability status changed from available to gone suddenly.,Inventory,,,,,
"I'm sorry, but The build of this item is very poor compared to the description!",Product Integrity & Accuracy,,,,,
"Hi, someone made an illegal order using my account!",Security and Privacy,,,,,
i haven't received my refund yet for the returned item.,Refund & Returns,,,,,
"Excuse me, i want to convert my billing cycle from annual to yearly.",Subscriptions,,,,,
There is a bug in the application's latest update!,Technical Issues,,,,,
the delivery driver was supposed to deliver my request yesterday but it's late!,Delivery,,,,,
"I'm sorry, but I need a breakdown of the costs on my latest billing history.",Billing & Transaction Problems,,,,,
someone made an illegal purchase using my account.,Security and Privacy,,,,,
"Hello, There is a bug in the application's latest update.",Technical Issues,,,,,
"Hello, I can't update my phone number on the account settings.",Account & Profile Management,,,,,
"Hi, my transaction was failed but the money was withdrawn from my bank.",Billing & Transaction Problems,,,,,
why is my shipment held up in sorting center?,Delivery,,,,,
how do I update my newsletter in my profile?,Account & Profile Management,,,,,
"Excuse me, I was informed that the product is out of supply after I completed payment.",Inventory,,,,,
"Hello, can I change my handle on the system?",Account & Profile Management,,,,,
"Hi, The courier was supposed to deliver my request yesterday but it's late.",Delivery,,,,,
someone made an unauthorized purchase using my account.,Security and Privacy,,,,,
i opened the container and the unit was missing.,Product Integrity & Accuracy,,,,,
i was invoiced twice for my recent order.,Billing & Transaction Problems,,,,,
i want to send back my order for a full refund.,Refund & Returns,,,,,
can I change my login ID on the website?,Account & Profile Management,,,,,
"Excuse me, my privacy settings are not working as expected.",Security and Privacy,,,,,
The product is unavailable and I need to know when it will be back in stock!,Inventory,,,,,
"Hi, the saving promised in the newsletter is not working!",Promotions,,,,,
My order postponed and it hasn't arrived yet.,Delivery,,,,,
The site is not encrypted and I am worried about my data.,Security and Privacy,,,,,
I cannot find where to edit my personal info.,Account & Profile Management,,,,,
i want to merge two profiles that I have!,Account & Profile Management,,,,,
the total amount at checkout didn't match the total amount on the product page.,Billing & Transaction Problems,,,,,
The cost at checkout didn't match the cost on the product page!,Billing & Transaction Problems,,,,,
When will this article be back in the warehouse?,Inventory,,,,,
The item I received is damaged and non-functional.,Product Integrity & Accuracy,,,,,
"I'm sorry, but The item I got is out of date and cannot be used.",Product Integrity & Accuracy,,,,,
"Hi, Why is there an extra extra charge on my receipt?",Billing & Transaction Problems,,,,,
"Hi, the referral credit was not added to my membership.",Promotions,,,,,
"Excuse me, The platform is not displaying images properly.",Technical Issues,,,,,
why was my private info shared with a third party without consent?,Security and Privacy,,,,,
i want to exchange my request for a full money back.,Refund & Returns,,,,,
I need an update on my package transit status.,Delivery,,,,,
How do I hold my membership for a few months?,Subscriptions,,,,,
I received the incorrect size for the unit I ordered.,Product Integrity & Accuracy,,,,,
i need to change my password immediately.,Security and Privacy,,,,,
can you check stock in the other local depot?,Inventory,,,,,
"Excuse me, Part of the kit is gone from the shipment.",Product Integrity & Accuracy,,,,,
The device I bought won't turn on!,Product Integrity & Accuracy,,,,,
"I'm sorry, but I want to convert my payment term from recurring to annual.",Subscriptions,,,,,
my subscription perks are not working correctly!,Subscriptions,,,,,
i didn't get the free gift with my purchase.,Promotions,,,,,
"I'm sorry, but my payment method was charged the wrong amount.",Billing & Transaction Problems,,,,,
The application is stuck on the processing screen forever!,Technical Issues,,,,,
"Hi, i need to update my home address for all future orders!",Account & Profile Management,,,,,
i want to cancel my recurring membership.,Subscriptions,,,,,
The good is unavailable and I need to know when it will be back in stock.,Inventory,,,,,
I'm getting a 500 error when I click the order button.,Technical Issues,,,,,
Why is my mailing postponed in transit?,Delivery,,,,,
I need to change my home address for all future orders!,Account & Profile Management,,,,,
"I'm sorry, but I was informed that the product is missing after I checked out.",Inventory,,,,,
I want to stop my annual membership!,Subscriptions,,,,,
I want to send back my order for a full refund.,Refund & Returns,,,,,
i noticed a sign-in from a warehouse I don't recognize.,Security and Privacy,,,,,
"Hello, the membership cost increased without my consent.",Subscriptions,,,,,
the good looks nothing like the online photo on the storefront.,Product Integrity & Accuracy,,,,,
why is my mailing held up in transit?,Delivery,,,,,
The screen times out every time I refresh it!,Technical Issues,,,,,
"Excuse me, the flash sale prices are not showing up in my basket.",Promotions,,,,,
"Excuse me, The courier was supposed to deliver my order yesterday but it's late.",Delivery,,,,,
Where is my parcel? The tracking link says it is transit.,Delivery,,,,,
The courier was supposed to deliver my transaction yesterday but it's late.,Delivery,,,,,
The product is sold out and I need to know when it will be replenished.,Inventory,,,,,
I want to be alerted when this product is in stock again.,Inventory,,,,,
This product seems to be a refurbished unit instead of new!,Product Integrity & Accuracy,,,,,
My bank shows the amount deducted but the site said payment failed.,Billing & Transaction Problems,,,,,
"Hello, I need a breakdown of the charges on my latest billing history.",Billing & Transaction Problems,,,,,
i didn't get a notice before my extension charge.,Subscriptions,,,,,
"I'm sorry, but how do I start a exchange for a product I don't want?",Refund & Returns,,,,,
I cannot find where to adjust my personal details.,Account & Profile Management,,,,,
the order button on the cart page is not working.,Technical Issues,,,,,
the postal service was supposed to deliver my order yesterday but it's late.,Delivery,,,,,
I want to send back my purchase for a full refund.,Refund & Returns,,,,,
The mobile app is stuck on the loading screen forever!,Technical Issues,,,,,
my settings are not saving after I refresh them.,Account & Profile Management,,,,,
my transaction has been out for delivery for three days now.,Delivery,,,,,
The item stopped working after only one day of use.,Product Integrity & Accuracy,,,,,
"Excuse me, I cannot find where to edit my personal details.",Account & Profile Management,,,,,
there is a glitch in the mobile app's latest update.,Technical Issues,,,,,
"Excuse me, I think my account has been compromised or leaked!",Security and Privacy,,,,,
"Hello, i'm getting a connection error when I click the pay button.",Technical Issues,,,,,
The product I received is cracked and smashed.,Product Integrity & Accuracy,,,,,
your terms of service says I have 30 days to exchange this.,Refund & Returns,,,,,
"I'm sorry, but the total amount at checkout didn't match the total amount on the product page!",Billing & Transaction Problems,,,,,
How do I refresh my marketing mail in my profile?,Account & Profile Management,,,,,
i want to be alerted when this good is in stock again.,Inventory,,,,,
The good was stopped right after I ordered it.,Inventory,,,,,
Why was my private info shared with a third party without consent?,Security and Privacy,,,,,
i can't view my cart because the online shop is too slow.,Technical Issues,,,,,
the status status changed from in stock to out of stock suddenly!,Inventory,,,,,
the status status changed from in stock to out of stock suddenly.,Inventory,,,,,
"Hello, the subscription cost increased without my permission.",Subscriptions,,,,,
The platform is not displaying thumbnails properly.,Technical Issues,,,,,
I keep getting scammy emails claiming to be from you!,Security and Privacy,,,,,
The postal service lost my shipment and I need help.,Delivery,,,,,
"I'm sorry, but can you check quantity in the nearby local depot?",Inventory,,,,,
my coupon is not applying to my transaction.,Promotions,,,,,
i'm getting a 500 error when I click the order button.,Technical Issues,,,,,
My name is spelled incorrectly on my profile.,Account & Profile Management,,,,,
"Excuse me, The article I got is out of date and cannot be used.",Product Integrity & Accuracy,,,,,
The postal service lost my box and I need help!,Delivery,,,,,
i think my membership has been hacked or compromised.,Security and Privacy,,,,,
the delivery driver was supposed to deliver my transaction yesterday but it's late!,Delivery,,,,,
I want to delete my profile permanently.,Account & Profile Management,,,,,
the delivery driver lost my package and I need help.,Delivery,,,,,
"Hello, The storefront says in stock but it's actually on waiting list!",Inventory,,,,,
i think my profile has been compromised or leaked.,Security and Privacy,,,,,
The good was stopped right after I bought it.,Inventory,,,,,
Where is my parcel? The tracking link says it is warehouse.,Delivery,,,,,
"I'm sorry, but I need a return label for my box!",Refund & Returns,,,,,
Tracking number #992211 is not updating for my transaction.,Delivery,,,,,
"Excuse me, how do I link my social media to my membership?",Account & Profile Management,,,,,
i want to scale up my level to the pro level.,Subscriptions,,,,,
I was told that the unit is unavailable after I paid.,Inventory,,,,,
can I get a trial for your service?,Subscriptions,,,,,
"Excuse me, The gadget I bought won't turn on.",Product Integrity & Accuracy,,,,,
My payment was failed but the money was removed from my bank.,Billing & Transaction Problems,,,,,
"Hello, how do I start a exchange for a merchandise I don't want?",Refund & Returns,,,,,
the money back amount I received is less than what I paid!,Refund & Returns,,,,,
"I'm sorry, but The item looks nothing like the picture on the website!",Product Integrity & Accuracy,,,,,
the postal service was supposed to deliver my purchase yesterday but it's late.,Delivery,,,,,
"Excuse me, i received the wrong size for the product I ordered.",Product Integrity & Accuracy,,,,,
I want to send back my transaction for a full reimbursement!,Refund & Returns,,,,,
I want to send back my order for a full reimbursement.,Refund & Returns,,,,,
Can I get a demo for your platform?,Subscriptions,,,,,
i received the mismatched size for the product I ordered.,Product Integrity & Accuracy,,,,,
i was told that the product is missing after I checked out!,Inventory,,,,,
Internal server system crash is preventing me from finishing my place an order.,Technical Issues,,,,,
"Hi, I signed up for the welcome gift but never received it!",Promotions,,,,,
"Hi, can I change my handle on the website?",Account & Profile Management,,,,,
I keep getting weird emails claiming to be from you.,Security and Privacy,,,,,
I opened the box and the product was missing.,Product Integrity & Accuracy,,,,,
The online shop keeps crashing whenever I try to log in.,Technical Issues,,,,,
i signed up for the signup bonus but never received it.,Promotions,,,,,
"Hi, tracking number #992211 is not updating for my request.",Delivery,,,,,
i think my account has been hacked or compromised.,Security and Privacy,,,,,
The limited offer prices are not showing up in my basket.,Promotions,,,,,
There is a glitch in the application's latest update.,Technical Issues,,,,,
can I get a demo for your app?,Subscriptions,,,,,
I want to ask for a copy of all the private info you have on me.,Security and Privacy,,,,,
i want to cancel my annual subscription.,Subscriptions,,,,,
my payment was failed but the money was removed from my bank!,Billing & Transaction Problems,,,,,
how do I start a return for a merchandise I don't want?,Refund & Returns,,,,,
I want to enable multi-factor authentication for better security.,Security and Privacy,,,,,
i need to change my delivery location for all future orders!,Account & Profile Management,,,,,
the membership total amount increased without my permission!,Subscriptions,,,,,
"Hi, is this item a limited edition or will more be produced?",Inventory,,,,,
"Excuse me, I signed up for the new member reward but never received it.",Promotions,,,,,
Can I get a reimbursement if the box was never sent?,Refund & Returns,,,,,
The storefront says in stock but it's actually on waiting list.,Inventory,,,,,
My name is spelled incorrectly on my personal info!,Account & Profile Management,,,,,
the merchandise I received is damaged and smashed.,Product Integrity & Accuracy,,,,,
"Hi, How do I edit my newsletter in my profile?",Account & Profile Management,,,,,
I signed up for the new member reward but never received it!,Promotions,,,,,
I want to switch my payment term from recurring to annual!,Subscriptions,,,,,
"Hello, the site says ready but it's actually on pre-order.",Inventory,,,,,
Tracking number ID #8822 is not updating for my order.,Delivery,,,,,
i need to change my shipping address for all future orders!,Account & Profile Management,,,,,
my discount code is not applying to my purchase!,Promotions,,,,,
My username is spelled incorrectly on my profile!,Account & Profile Management,,,,,
the service plan price increased without my knowledge!,Subscriptions,,,,,
I need a breakdown of the charges on my latest account statement!,Billing & Transaction Problems,,,,,
the subscription cost increased without my permission!,Subscriptions,,,,,
the service plan cost increased without my knowledge.,Subscriptions,,,,,
"Hello, how do I edit my marketing mail in my profile?",Account & Profile Management,,,,,
I received the incorrect size for the article I ordered.,Product Integrity & Accuracy,,,,,
"Hello, The article I got is out of date and cannot be used.",Product Integrity & Accuracy,,,,,
Why was my private info shared with a third party without permission?,Security and Privacy,,,,,
"Hello, the software is stuck on the buffering screen forever!",Technical Issues,,,,,
The saving promised in the marketing mail is not working!,Promotions,,,,,
My purchase postponed and it hasn't arrived yet.,Delivery,,,,,
where is my parcel? The tracking info says it is local depot.,Delivery,,,,,
"Hi, I haven't received my parcel yet, although the delivery update says delivered.",Delivery,,,,,
I was notified that the item is unavailable after I completed payment!,Inventory,,,,,
someone made an unauthorized purchase using my profile.,Security and Privacy,,,,,
Part of the kit is missing from the parcel.,Product Integrity & Accuracy,,,,,
can you apply this price reduction manually to my buy?,Promotions,,,,,
Internal server failure is preventing me from finishing my place an order.,Technical Issues,,,,,
"Hello, i need a breakdown of the fees on my latest billing history.",Billing & Transaction Problems,,,,,
how do I start a exchange for a product I don't want?,Refund & Returns,,,,,
"I'm sorry, but The storefront keeps bugging out whenever I try to log in!",Technical Issues,,,,,
"i haven't received my box yet, although the status says delivered.",Delivery,,,,,
"Hello, the price at checkout didn't match the price on the product page.",Billing & Transaction Problems,,,,,
The referral credit was not added to my membership.,Promotions,,,,,
I opened the packaging and the item was missing.,Product Integrity & Accuracy,,,,,
my name is spelled incorrectly on my profile.,Account & Profile Management,,,,,
The merchandise was discontinued right after I bought it.,Inventory,,,,,
the postal service lost my package and I need help!,Delivery,,,,,
"Hi, i want to request a copy of all the private info you have on me.",Security and Privacy,,,,,
The online shop says available but it's actually on backorder.,Inventory,,,,,
"I'm sorry, but i want to exchange my order for a full money back.",Refund & Returns,,,,,
"I'm sorry, but i want to stop my recurring subscription.",Subscriptions,,,,,
"I'm sorry, but i noticed a login from a transit I don't recognize.",Security and Privacy,,,,,
I see a unknown deduction from your site on my bank statement!,Billing & Transaction Problems,,,,,
Someone made an illegal acquisition using my account.,Security and Privacy,,,,,
i need to modify my home address for all future orders.,Account & Profile Management,,,,,
"Hi, why was my private info shared with a third party without consent?",Security and Privacy,,,,,
"Hello, The reimbursement amount I received is less than what I paid.",Refund & Returns,,,,,
the website is not secure and I am worried about my data.,Security and Privacy,,,,,
i received the wrong size for the article I ordered.,Product Integrity & Accuracy,,,,,
"Excuse me, i want to merge two logins that I have.",Account & Profile Management,,,,,
"I'm sorry, but I can't update my mobile on the account settings.",Account & Profile Management,,,,,
how do I start a exchange for a item I don't want?,Refund & Returns,,,,,
"Excuse me, the forex conversion for my checkout seems incorrect.",Billing & Transaction Problems,,,,,
I cannot find where to manage my personal info.,Account & Profile Management,,,,,
i didn't get a notification before my extension charge.,Subscriptions,,,,,
how do I suspend my access for a few months?,Subscriptions,,,,,
why is the stock count mismatched on the page?,Inventory,,,,,
where is my shipment? The tracking link says it is sorting center.,Delivery,,,,,
I can't modify my mobile on the membership settings.,Account & Profile Management,,,,,
the storefront is not displaying product photos properly.,Technical Issues,,,,,
The price reduction promised in the marketing mail is not working.,Promotions,,,,,
"Hi, i requested a refund a week ago and haven't heard back.",Refund & Returns,,,,,
i need a breakdown of the charges on my latest account statement!,Billing & Transaction Problems,,,,,
i need a breakdown of the fees on my latest account statement.,Billing & Transaction Problems,,,,,
the site says in stock but it's actually on backorder!,Inventory,,,,,
i noticed a login from a warehouse I don't recognize.,Security and Privacy,,,,,
"Hello, The price at checkout didn't match the price on the product page.",Billing & Transaction Problems,,,,,
The good looks nothing like the advertised image on the site.,Product Integrity & Accuracy,,,,,
the membership total amount increased without my knowledge.,Subscriptions,,,,,
the product looks nothing like the advertised image on the site.,Product Integrity & Accuracy,,,,,
the flash sale prices are not showing up in my basket.,Promotions,,,,,
The material of this product is very poor compared to the description.,Product Integrity & Accuracy,,,,,
"Hi, How do I start a return for a good I don't want?",Refund & Returns,,,,,
My legal name is spelled incorrectly on my personal info.,Account & Profile Management,,,,,
the product I received is damaged and non-functional.,Product Integrity & Accuracy,,,,,
why was I invoiced for a service plan I already canceled?,Subscriptions,,,,,
why was I billed for a subscription I already canceled?,Subscriptions,,,,,
I noticed a access from a sorting center I don't recognize!,Security and Privacy,,,,,
"I'm sorry, but i want to scale up my tier to the premium level!",Subscriptions,,,,,
"I'm sorry, but the merchandise was retired right after I purchased it.",Inventory,,,,,
I think my membership has been compromised or breached.,Security and Privacy,,,,,
the courier was supposed to deliver my order yesterday but it's late.,Delivery,,,,,
"Excuse me, The merchandise looks nothing like the online photo on the site.",Product Integrity & Accuracy,,,,,
My recurring charge is turned off but I was still billed.,Subscriptions,,,,,
the availability status changed from in stock to unavailable suddenly.,Inventory,,,,,
"Excuse me, The saving promised in the marketing mail is not working.",Promotions,,,,,
my coupon is not applying to my order.,Promotions,,,,,
"Hi, My transaction has been out for delivery for three days now.",Delivery,,,,,
i need a return label for my parcel.,Refund & Returns,,,,,
i want to close my account permanently.,Account & Profile Management,,,,,
"Hello, i was billed twice for my recent order.",Billing & Transaction Problems,,,,,
"Hi, why is my mailing held up in warehouse?",Delivery,,,,,
The storefront is not displaying images properly.,Technical Issues,,,,,
the online shop says in stock but it's actually on waiting list!,Inventory,,,,,
"Hello, I keep getting suspicious emails claiming to be from you.",Security and Privacy,,,,,
Why is my shipment postponed in transit?,Delivery,,,,,
I haven't received my refund yet for the sent back item!,Refund & Returns,,,,,
i noticed a login from a local depot I don't recognize.,Security and Privacy,,,,,
"Excuse me, I want to use my store credit for this buy.",Promotions,,,,,
"I'm sorry, but the delivery driver lost my box and I need help.",Delivery,,,,,
I opened the container and the product was not in the box!,Product Integrity & Accuracy,,,,,
Internal server system crash is preventing me from finishing my view my cart!,Technical Issues,,,,,
my payment method was charged the wrong amount.,Billing & Transaction Problems,,,,,
"I'm sorry, but I want to enable multi-factor authentication for better security.",Security and Privacy,,,,,
"I'm sorry, but I want to merge two profiles that I have.",Account & Profile Management,,,,,
My transaction has been out for delivery for three days now.,Delivery,,,,,
"Hello, the discount promised in the email is not working!",Promotions,,,,,
"Hi, can you apply this discount manually to my buy?",Promotions,,,,,
My settings are not saving after I refresh them.,Account & Profile Management,,,,,
my privacy settings are not working as expected.,Security and Privacy,,,,,
The merchandise looks nothing like the online photo on the site!,Product Integrity & Accuracy,,,,,
i requested a money back a week ago and haven't heard back.,Refund & Returns,,,,,
I was charged twice for my recent order!,Billing & Transaction Problems,,,,,
"Excuse me, Why is my mailing delayed in warehouse?",Delivery,,,,,
I need a return slip for my box.,Refund & Returns,,,,,
can I change my username on the system?,Account & Profile Management,,,,,
I want to close my account permanently.,Account & Profile Management,,,,,
i want to stop my recurring membership.,Subscriptions,,,,,
why is the availability count count wrong on the screen?,Inventory,,,,,
Part of the bundle is missing from the shipment!,Product Integrity & Accuracy,,,,,
why is there an extra surcharge on my bill?,Billing & Transaction Problems,,,,,
I want to be sent an email when this product is in quantity again.,Inventory,,,,,
how do I refresh my email in my profile?,Account & Profile Management,,,,,
i haven't received my money back yet for the sent back item.,Refund & Returns,,,,,
the product was discontinued right after I bought it.,Inventory,,,,,
My order hasn't been received yet.,Delivery,,,,,
my request stuck and it hasn't arrived yet.,Delivery,,,,,
How do I refresh my newsletter in my profile?,Account & Profile Management,,,,,
"Hi, My username is spelled incorrectly on my account details.",Account & Profile Management,,,,,
i need a breakdown of the costs on my latest billing history.,Billing & Transaction Problems,,,,,
my checkout was failed but the money was deducted from my bank.,Billing & Transaction Problems,,,,,
"Hello, i want to ask for a copy of all the private info you have on me.",Security and Privacy,,,,,
I was informed that the unit is missing after I checked out!,Inventory,,,,,
"Hi, i want to enable 2FA authentication for better protection.",Security and Privacy,,,,,
Can I change my handle on the website?,Account & Profile Management,,,,,
I want to use my store credit for this purchase.,Promotions,,,,,
Can I get a refund if the parcel was never sent?,Refund & Returns,,,,,
why was I charged for a membership I already ended?,Subscriptions,,,,,
"Excuse me, can you apply this discount manually to my buy?",Promotions,,,,,
i received the wrong size for the product I ordered.,Product Integrity & Accuracy,,,,,
"Excuse me, The online shop says available but it's actually on waiting list.",Inventory,,,,,
The merchandise I received is cracked and non-functional.,Product Integrity & Accuracy,,,,,
I haven't received a confirmation for my payment.,Billing & Transaction Problems,,,,,
"Excuse me, the total amount at checkout didn't match the total amount on the product page!",Billing & Transaction Problems,,,,,
i can't update my contact number on the membership settings.,Account & Profile Management,,,,,
"Hi, Why is the code code old when it should be valid?",Promotions,,,,,
"Hello, i want to exchange my merchandise for a different size.",Refund & Returns,,,,,
i want to cancel my monthly subscription.,Subscriptions,,,,,
"Excuse me, my transaction was rejected but the money was removed from my bank.",Billing & Transaction Problems,,,,,
the subscription cost increased without my knowledge!,Subscriptions,,,,,
"Excuse me, the reimbursement amount I received is less than what I paid.",Refund & Returns,,,,,
I need a breakdown of the costs on my latest account statement.,Billing & Transaction Problems,,,,,
My notifs are not saving after I refresh them.,Account & Profile Management,,,,,
How do I start a return for a merchandise I don't want?,Refund & Returns,,,,,
i want to return my purchase for a full reimbursement!,Refund & Returns,,,,,
"Excuse me, the referral credit was not added to my membership.",Promotions,,,,,
The website keeps freezing whenever I try to place an order.,Technical Issues,,,,,
i opened the container and the product was not in the box.,Product Integrity & Accuracy,,,,,
I didn't get a notice before my re-up charge.,Subscriptions,,,,,
I think my profile has been stolen or leaked.,Security and Privacy,,,,,
I need to reset my passcode immediately.,Security and Privacy,,,,,
"I'm sorry, but The referral credit was not added to my membership.",Promotions,,,,,
i want to change my frequency from annual to yearly.,Subscriptions,,,,,
i need to change my password immediately!,Security and Privacy,,,,,
"Hi, the friend link credit was not added to my membership.",Promotions,,,,,
how do I hold my account for a few months?,Subscriptions,,,,,
I can't update my phone number on the profile settings.,Account & Profile Management,,,,,
The order button on the payment page is not working.,Technical Issues,,,,,
Why is my mailing delayed in sorting center?,Delivery,,,,,
The site is not displaying images properly.,Technical Issues,,,,,
"Excuse me, my payment method was charged the wrong amount.",Billing & Transaction Problems,,,,,
i need to change my shipping address for all future orders.,Account & Profile Management,,,,,
Your refund policy says I have 30 days to send back this.,Refund & Returns,,,,,
"Hello, Your terms of service says I have 30 days to send back this.",Refund & Returns,,,,,
I need to recover my credentials immediately.,Security and Privacy,,,,,
"Hello, The friend link credit was not added to my membership.",Promotions,,,,,
My coupon is not applying to my order.,Promotions,,,,,
"Hi, i noticed a login from a transit I don't recognize.",Security and Privacy,,,,,
"Excuse me, why is the code code expired when it should be valid?",Promotions,,,,,
"I'm sorry, but I opened the box and the product was missing.",Product Integrity & Accuracy,,,,,
"Hello, The page times out every time I refresh it.",Technical Issues,,,,,
"Hi, How do I refresh my newsletter in my profile?",Account & Profile Management,,,,,
Can you apply this saving manually to my transaction?,Promotions,,,,,
"Hello, i requested a refund a week ago and haven't heard back!",Refund & Returns,,,,,
Why is my shipment postponed in local depot?,Delivery,,,,,
the postal service was supposed to deliver my request yesterday but it's late.,Delivery,,,,,
"Excuse me, I opened the box and the unit was missing.",Product Integrity & Accuracy,,,,,
I can't update my mobile on the account settings!,Account & Profile Management,,,,,
"Hi, tracking number #992211 is not updating for my transaction.",Delivery,,,,,
"Excuse me, The merchandise I received is damaged and non-functional.",Product Integrity & Accuracy,,,,,
I haven't received my refund yet for the returned item.,Refund & Returns,,,,,
the submit button on the checkout page is not working.,Technical Issues,,,,,
why is my shipment delayed in transit?,Delivery,,,,,
i need to reset my password immediately!,Security and Privacy,,,,,
I opened the container and the unit was gone.,Product Integrity & Accuracy,,,,,
i can't update my mobile on the account settings.,Account & Profile Management,,,,,
The product I received is cracked and smashed!,Product Integrity & Accuracy,,,,,
i cannot find where to edit my personal details!,Account & Profile Management,,,,,
"Hi, The price reduction promised in the email is not working.",Promotions,,,,,
why was I billed for a subscription I already ended?,Subscriptions,,,,,
