Complaint,Category,Urgency,target
Jewelry arrived with fake hallmark stamps,Product Quality,High,Product Quality | High
Food product cooking instructions dangerous,Product Quality,Medium,Product Quality | Medium
Product arrived with undisclosed DRM,Product Quality,High,Product Quality | High
Electronics arrived with wrong regional voltage,Product Quality,Immediate,Product Quality | Immediate
Clothing sizing chart completely inaccurate,Product Quality,High,Product Quality | High
Product arrived with unauthorized third-party parts,Product Quality,Medium,Product Quality | Medium
Toy safety warnings in wrong language,Product Quality,High,Product Quality | High
Appliance arrived with cut power cord,Product Quality,Immediate,Product Quality | Immediate
Cosmetics arrived with broken safety seal,Product Quality,High,Product Quality | High
Furniture arrived with structural cracks,Product Quality,Medium,Product Quality | Medium
Product arrived with undisclosed required accessories,Product Quality,High,Product Quality | High
Device arrived with critical manufacturing defect,Product Quality,Immediate,Product Quality | Immediate
Jewelry arrived with wrong gemstone cut,Product Quality,High,Product Quality | High
Food product arrived with compromised packaging,Product Quality,Medium,Product Quality | Medium
Product arrived with undisclosed performance limits,Product Quality,High,Product Quality | High
Electronics arrived with wrong regional plugs,Product Quality,Immediate,Product Quality | Immediate
Clothing arrived with undisclosed 'final sale',Product Quality,High,Product Quality | High
Product materials react dangerously to water,Product Quality,Medium,Product Quality | Medium
Toy arrived with sharp protrusions,Product Quality,High,Product Quality | High
Appliance arrived with factory testing residue,Product Quality,Immediate,Product Quality | Immediate
Cosmetics arrived with separated ingredients,Product Quality,High,Product Quality | High
Furniture arrived with incorrect assembly hardware,Product Quality,Medium,Product Quality | Medium
Product arrived with undisclosed account requirement,Product Quality,High,Product Quality | High
Return label never provided despite policy,Returns,High,Returns | High
Refund processed but not received after 30 days,Returns,Immediate,Returns | Immediate
Return tracking shows delivered but refund not issued,Returns,High,Returns | High
Prepaid return label is invalid at carrier,Returns,Medium,Returns | Medium
Return initiated but no RMA number provided,Returns,High,Returns | High
Refund issued to wrong payment method,Returns,Immediate,Returns | Immediate
Return shipping costs deducted without warning,Returns,High,Returns | High
Return package refused at warehouse,Returns,Medium,Returns | Medium
Partial refund issued without explanation,Returns,High,Returns | High
Return label charges unexpected customs fees,Returns,Immediate,Returns | Immediate
Return status shows 'processing' indefinitely,Returns,High,Returns | High
Refund amount differs from return receipt,Returns,Medium,Returns | Medium
Return instructions contradict policy,Returns,High,Returns | High
Return label generates error when printing,Returns,Immediate,Returns | Immediate
Refund delayed for 'additional inspection',Returns,High,Returns | High
Return requires original packaging that wasn't kept,Returns,Medium,Returns | Medium
Return tracking never updates after drop-off,Returns,High,Returns | High
Refund processed as store credit without consent,Returns,Immediate,Returns | Immediate
Return portal crashes during submission,Returns,High,Returns | High
Return rejected for missing barcode that was included,Returns,Medium,Returns | Medium
Refund missing return shipping reimbursement,Returns,High,Returns | High
Return label has wrong warehouse address,Returns,Immediate,Returns | Immediate
Return status never updates from 'initiated',Returns,High,Returns | High
Refund held for undisclosed restocking fee,Returns,Medium,Returns | Medium
Return requires receipt despite online account,Returns,High,Returns | High
Return label expired before use,Returns,Immediate,Returns | Immediate
Refund delayed due to 'high return volume',Returns,High,Returns | High
Return items lost by carrier but no resolution,Returns,Medium,Returns | Medium
Refund issued in wrong currency,Returns,High,Returns | High
Return requires in-store visit despite online purchase,Returns,Immediate,Returns | Immediate
Return label missing from packaging as promised,Returns,High,Returns | High
Refund processed before return was received,Returns,Medium,Returns | Medium
Return rejected for minor box damage,Returns,High,Returns | High
Return shipping costs higher than estimated,Returns,Immediate,Returns | Immediate
Refund status shows complete but money missing,Returns,High,Returns | High
Return portal asks for unreasonable documentation,Returns,Medium,Returns | Medium
Return label prints with unreadable barcode,Returns,High,Returns | High
Refund delayed for 'manual processing',Returns,Immediate,Returns | Immediate
Return requires original payment method no longer available,Returns,High,Returns | High
Return tracking shows delivered but marked 'not received',Returns,Medium,Returns | Medium
Refund amount excludes taxes paid,Returns,High,Returns | High
Return label has incorrect weight limit,Returns,Immediate,Returns | Immediate
Return rejected for being 'too late' despite on time,Returns,High,Returns | High
Refund processed to closed bank account,Returns,Medium,Returns | Medium
Return requires product photos but no option to upload,Returns,High,Returns | High
Return label missing return authorization number,Returns,Immediate,Returns | Immediate
Refund delayed due to 'account verification',Returns,High,Returns | High
Return items damaged in transit due to poor packaging,Returns,Medium,Returns | Medium
Refund processed as multiple partial payments,Returns,High,Returns | High
Return requires unreasonably precise repackaging,Returns,Immediate,Returns | Immediate
Return label shipping method slower than promised,Returns,High,Returns | High
Refund missing loyalty points earned,Returns,Medium,Returns | Medium
Return rejected for missing tags that were never removed,Returns,High,Returns | High
Return portal forces unnecessary exchange first,Returns,Immediate,Returns | Immediate
Refund delayed due to 'fraud review',Returns,High,Returns | High
Return requires original shipping box that was recycled,Returns,Medium,Returns | Medium
Return tracking shows exception but no follow-up,Returns,High,Returns | High
Refund issued as different payment type,Returns,Immediate,Returns | Immediate
Return label has incorrect return address,Returns,High,Returns | High
Refund processed before return was inspected,Returns,Medium,Returns | Medium
Return rejected for 'unauthorized return method',Returns,High,Returns | High
Return requires notarized affidavit,Returns,Immediate,Returns | Immediate
Refund delayed due to 'system migration',Returns,High,Returns | High
Return items lost by warehouse with no compensation,Returns,Medium,Returns | Medium
Refund missing gift wrapping fees,Returns,High,Returns | High
Return label has incorrect weight causing fees,Returns,Immediate,Returns | Immediate
Return rejected for 'excessive wear' on defective item,Returns,High,Returns | High
Refund processed to wrong customer account,Returns,Medium,Returns | Medium
Return requires video evidence of packaging,Returns,High,Returns | High
Return label charges return shipping despite free returns,Returns,Immediate,Returns | Immediate
Refund delayed due to 'third-party seller',Returns,High,Returns | High
Return rejected for missing accessories that were included,Returns,Medium,Returns | Medium
Refund issued before return was approved,Returns,High,Returns | High
Return requires original payment card present,Returns,Immediate,Returns | Immediate
Return label has incorrect item count,Returns,High,Returns | High
Refund processed with undisclosed currency conversion,Returns,Medium,Returns | Medium
Return rejected for 'resale condition' requirements,Returns,High,Returns | High
Return portal doesn't accept international returns,Returns,Immediate,Returns | Immediate
Refund delayed due to 'bank processing',Returns,High,Returns | High
Return items damaged by warehouse during inspection,Returns,Medium,Returns | Medium
Refund missing promotional discount amount,Returns,High,Returns | High
Return label invalid for international addresses,Returns,Immediate,Returns | Immediate
Return rejected for 'missing parts' that weren't included,Returns,High,Returns | High
Refund processed after chargeback initiated,Returns,Medium,Returns | Medium
Return requires original gift receipt unavailable,Returns,High,Returns | High
Return label has incorrect declared value,Returns,Immediate,Returns | Immediate
Refund delayed due to 'account discrepancy',Returns,High,Returns | High
Return rejected for 'unauthorized return reason',Returns,Medium,Returns | Medium
Refund issued to wrong currency wallet,Returns,High,Returns | High
Return requires in-person notary verification,Returns,Immediate,Returns | Immediate
Return label has incorrect customs declaration,Returns,High,Returns | High
Refund processed with unauthorized deductions,Returns,Medium,Returns | Medium
Return rejected for 'incomplete form' that was completed,Returns,High,Returns | High
Return portal crashes when uploading receipt,Returns,Immediate,Returns | Immediate
Refund delayed due to 'payment processor error',Returns,High,Returns | High
Return items lost after warehouse receipt,Returns,Medium,Returns | Medium
Refund missing original shipping fees,Returns,High,Returns | High
Return label has incorrect item description,Returns,Immediate,Returns | Immediate
Return rejected for 'policy changed after purchase',Returns,High,Returns | High
Refund processed to expired gift card,Returns,Medium,Returns | Medium
Return requires original packaging destroyed during unboxing,Returns,High,Returns | High
Can't login - 'invalid credentials' with correct info,Account,High,Account | High
Account locked after one failed attempt,Account,Medium,Account | Medium
Two-factor authentication codes not arriving,Account,High,Account | High
Password reset link expires immediately,Account,Immediate,Account | Immediate
Account shows someone else's information,Account,High,Account | High
Session logs out randomly during use,Account,Medium,Account | Medium
Email change option doesn't work,Account,High,Account | High
Username recovery feature broken,Account,Immediate,Account | Immediate
Account created but no verification email,Account,High,Account | High
Browser autofill breaks login form,Account,Medium,Account | Medium
CAPTCHA never loads on login page,Account,High,Account | High
Account shows purchases I didn't make,Account,Immediate,Account | Immediate
Password requirements too restrictive,Account,Low,Account | Low
Login works on app but not website,Account,High,Account | High
Account merged with stranger's by system error,Account,Immediate,Account | Immediate
Security questions reset themselves,Account,High,Account | High
Biometric login fails consistently,Account,Medium,Account | Medium
Account suspended without explanation,Account,High,Account | High
Remember me function doesn't work,Account,Immediate,Account | Immediate
Password shows 'too common' when unique,Account,Medium,Account | Medium
Account shows wrong membership tier,Account,High,Account | High
Login page vulnerable to brute force attacks,Account,Immediate,Account | Immediate
Email updates don't confirm old address,Account,High,Account | High
Account activity shows unknown devices,Account,Medium,Account | Medium
Password history prevents reusing old passwords,Account,High,Account | High
Social media login integration broken,Account,Immediate,Account | Immediate
Account deletion option doesn't work,Account,High,Account | High
Login attempts from foreign countries ignored,Account,Medium,Account | Medium
Account shows wrong default currency,Account,High,Account | High
Security alert emails never arrive,Account,Immediate,Account | Immediate
Password manager incompatible with login,Account,High,Account | High
Account recovery asks impossible questions,Account,Medium,Account | Medium
Login session expires too quickly,Account,High,Account | High
Account shows incorrect birth date,Account,Immediate,Account | Immediate
Two-step verification can't be disabled,Account,High,Account | High
Password reset asks for old password,Account,Medium,Account | Medium
Account locked due to 'suspicious activity',Account,High,Account | High
Login page doesn't support special characters,Account,Immediate,Account | Immediate
Account shows wrong preferred language,Account,High,Account | High
Security image feature displays wrong image,Account,Medium,Account | Medium
Password change forces unnecessary complexity,Account,High,Account | High
Account access given to ex-spouse,Account,Immediate,Account | Immediate
Login fails when using VPN,Account,High,Account | High
Account shows outdated payment methods,Account,Medium,Account | Medium
Password expiration too frequent,Account,High,Account | High
Account creation allows obvious fake emails,Account,Immediate,Account | Immediate
Login page missing HTTPS encryption,Account,High,Account | High
Account shows wrong loyalty points,Account,Medium,Account | Medium
Security certificate warnings during login,Account,High,Account | High
Password reset sends plaintext temp password,Account,Immediate,Account | Immediate
Account displays wrong purchase history,Account,High,Account | High
Login attempts don't show IP/location,Account,Medium,Account | Medium
Account settings revert after saving,Account,High,Account | High
Password complexity rules hidden until error,Account,Immediate,Account | Immediate
Account shows incorrect tax information,Account,High,Account | High
Login page vulnerable to phishing,Account,Medium,Account | Medium
Account recovery options outdated,Account,High,Account | High
Password sharing allowed between accounts,Account,Immediate,Account | Immediate
Account shows wrong subscription status,Account,High,Account | High
Login timeout too short for complex tasks,Account,Medium,Account | Medium
Account security audit logs missing,Account,High,Account | High
Password hints visible to all users,Account,Immediate,Account | Immediate
Account displays wrong shipping addresses,Account,High,Account | High
Login page stores credentials in cache,Account,Medium,Account | Medium
Account permissions changed without notice,Account,High,Account | High
Password reset doesn't verify identity,Account,Immediate,Account | Immediate
Account shows wrong credit balance,Account,High,Account | High
Login attempts from same IP unlimited,Account,Medium,Account | Medium
Account security questions too predictable,Account,High,Account | High
Password emailed in confirmation message,Account,Immediate,Account | Immediate
Account shows incorrect privacy settings,Account,High,Account | High
Login page doesn't time out properly,Account,Medium,Account | Medium
Account verification too intrusive,Account,High,Account | High
Password rules differ across platforms,Account,Immediate,Account | Immediate
Account shows wrong account age,Account,High,Account | High
Login page missing brute force protection,Account,Medium,Account | Medium
Account takeover with minimal verification,Account,High,Account | High
Password recovery exposes username,Account,Immediate,Account | Immediate
Account displays wrong contact preferences,Account,High,Account | High
Login session persists after logout,Account,Medium,Account | Medium
Account security notifications missing,Account,High,Account | High
Password change doesn't log out devices,Account,Immediate,Account | Immediate
Account shows wrong reward tiers,Account,High,Account | High
Login page autocomplete not disabled,Account,Medium,Account | Medium
Account activity logs incomplete,Account,High,Account | High
Password reset questions hackable,Account,Immediate,Account | Immediate
Account shows incorrect VIP status,Account,High,Account | High
Login attempts not throttled,Account,Medium,Account | Medium
Account security audit missing,Account,High,Account | High
Password reuse across services allowed,Account,Immediate,Account | Immediate
Account displays wrong membership date,Account,High,Account | High
Login page vulnerable to XSS attacks,Account,Medium,Account | Medium
Account permissions too broad,Account,High,Account | High
Password complexity not enforced,Account,Immediate,Account | Immediate
Account shows wrong purchase limits,Account,High,Account | High
Login session sharing allowed,Account,Medium,Account | Medium
Account security features outdated,Account,High,Account | High
Password reset via unverified email,Account,Immediate,Account | Immediate
Account displays wrong business type,Account,High,Account | High
Login page missing security headers,Account,Medium,Account | Medium
Account recovery too easy,Account,High,Account | High
Password expiration notices missing,Account,Immediate,Account | Immediate
Account shows wrong credit tier,Account,High,Account | High
Login attempts from Tor allowed,Account,Medium,Account | Medium
Account security questions visible,Account,High,Account | High
Password history not maintained,Account,Immediate,Account | Immediate
Coupon code says 'expired' but is still valid,Promotions,Medium,Promotions | Medium
Flash sale price disappeared at checkout,Promotions,Immediate,Promotions | Immediate
Discount applied to wrong items in cart,Promotions,High,Promotions | High
Promo email showed wrong discount amount,Promotions,Medium,Promotions | Medium
BOGO offer only applied to cheaper item,Promotions,High,Promotions | High
Limited-time sale ended 3 hours early,Promotions,Immediate,Promotions | Immediate
Coupon stackable despite 'one per order' rule,Promotions,Medium,Promotions | Medium
Price changed in cart during checkout,Promotions,High,Promotions | High
Exclusive promo code not working for target users,Promotions,Immediate,Promotions | Immediate
Member discount didn't apply automatically,Promotions,High,Promotions | High
Coupon required minimum spend not disclosed,Promotions,Medium,Promotions | Medium
Early access sale opened to everyone,Promotions,High,Promotions | High
Bundle discount calculated incorrectly,Promotions,Immediate,Promotions | Immediate
Promo showed '50% off' but only 30% applied,Promotions,High,Promotions | High
Coupon valid only on full-price items (hidden rule),Promotions,Medium,Promotions | Medium
Price mistake honored then canceled,Promotions,High,Promotions | High
Birthday coupon never arrived,Promotions,Immediate,Promotions | Immediate
Student discount required unreasonable verification,Promotions,High,Promotions | High
Coupon worked but then order was canceled,Promotions,Medium,Promotions | Medium
Price increased right before sale started,Promotions,High,Promotions | High
Promo excluded items shown in ad,Promotions,Immediate,Promotions | Immediate
First-time buyer discount didn't apply,Promotions,High,Promotions | High
Coupon limited to wrong product category,Promotions,Medium,Promotions | Medium
Secret sale price visible in cart briefly,Promotions,High,Promotions | High
Reward points discount capped unexpectedly,Promotions,Immediate,Promotions | Immediate
Promo email had broken redemption link,Promotions,High,Promotions | High
Coupon required account creation at checkout,Promotions,Medium,Promotions | Medium
Black Friday deal not honored in-store,Promotions,High,Promotions | High
Price glitch showed $1 items,Promotions,Immediate,Promotions | Immediate
Military discount required annual reverification,Promotions,High,Promotions | High
Coupon only worked on mobile app (not web),Promotions,Medium,Promotions | Medium
Limited stock sale showed available when sold out,Promotions,High,Promotions | High
Promo excluded sizes not mentioned,Promotions,Immediate,Promotions | Immediate
Referral discount didn't apply for both parties,Promotions,High,Promotions | High
Coupon required social media post proof,Promotions,Medium,Promotions | Medium
Price match denied for identical item,Promotions,High,Promotions | High
Promo countdown timer reset repeatedly,Promotions,Immediate,Promotions | Immediate
New customer offer available to existing users,Promotions,High,Promotions | High
Coupon terms changed after distribution,Promotions,Medium,Promotions | Medium
Sale price showed before login only,Promotions,High,Promotions | High
Bulk discount tiers calculated wrong,Promotions,Immediate,Promotions | Immediate
Promo banner showed expired discount,Promotions,High,Promotions | High
Coupon didn't stack with clearance items,Promotions,Medium,Promotions | Medium
Price error blamed on 'system glitch',Promotions,High,Promotions | High
Limited edition restock excluded from sale,Promotions,Immediate,Promotions | Immediate
Promo required newsletter signup after purchase,Promotions,High,Promotions | High
Coupon valid only at certain hours (undisclosed),Promotions,Medium,Promotions | Medium
Sale extended but prices increased,Promotions,High,Promotions | High
Price showed discount before adding to cart,Promotions,Immediate,Promotions | Immediate
Promo items removed from cart automatically,Promotions,High,Promotions | High
Coupon required minimum quantity not shown,Promotions,Medium,Promotions | Medium
Early bird special sold out instantly,Promotions,High,Promotions | High
Discount showed in cart but not checkout,Promotions,Immediate,Promotions | Immediate
Promo excluded payment methods not listed,Promotions,High,Promotions | High
Coupon code case-sensitive without indication,Promotions,Medium,Promotions | Medium
Price increased during coupon application,Promotions,High,Promotions | High
Member-only sale leaked to public,Promotions,Immediate,Promotions | Immediate
Promo required survey completion post-purchase,Promotions,High,Promotions | High
Coupon didn't work with gift cards,Promotions,Medium,Promotions | Medium
Sale countdown showed wrong timezone,Promotions,High,Promotions | High
Price mistake on multi-pack items,Promotions,Immediate,Promotions | Immediate
Promo items changed after campaign started,Promotions,High,Promotions | High
Coupon required app download to activate,Promotions,Medium,Promotions | Medium
Limited-quantity deal showed no limit,Promotions,High,Promotions | High
Discount disappeared when changing quantity,Promotions,Immediate,Promotions | Immediate
Promo credit expired before notification,Promotions,High,Promotions | High
Coupon only for first-time use (undisclosed),Promotions,Medium,Promotions | Medium
Price showed after rebate (not instant),Promotions,High,Promotions | High
Secret sale page found via Google search,Promotions,Immediate,Promotions | Immediate
Promo required in-store pickup for online order,Promotions,High,Promotions | High
Coupon valid only for future purchases,Promotions,Medium,Promotions | Medium
Sale price showed to some users but not others,Promotions,High,Promotions | High
Price glitch during currency conversion,Promotions,Immediate,Promotions | Immediate
Promo items had hidden higher shipping,Promotions,High,Promotions | High
Coupon required minimum spend after tax,Promotions,Medium,Promotions | Medium
Limited-time offer timer ran too fast,Promotions,High,Promotions | High
Discount applied then removed post-purchase,Promotions,Immediate,Promotions | Immediate
Promo excluded colors not mentioned,Promotions,High,Promotions | High
Coupon worked only with specific payment,Promotions,Medium,Promotions | Medium
Price showed discount from inflated MSRP,Promotions,High,Promotions | High
Early access sale had broken queue system,Promotions,Immediate,Promotions | Immediate
Promo required following social accounts,Promotions,High,Promotions | High
Coupon didn't work on sale items (undisclosed),Promotions,Medium,Promotions | Medium
Bulk discount didn't apply automatically,Promotions,High,Promotions | High
Price showed before mandatory fees,Promotions,Immediate,Promotions | Immediate
Promo items had different return policy,Promotions,High,Promotions | High
Coupon required age verification at checkout,Promotions,Medium,Promotions | Medium
Sale advertised wrong percentage off,Promotions,High,Promotions | High
Discount code leaked before launch,Promotions,Immediate,Promotions | Immediate
Promo required manual credit after purchase,Promotions,High,Promotions | High
Coupon valid only for certain regions,Promotions,Medium,Promotions | Medium
Price showed comparison to wrong product,Promotions,High,Promotions | High
VIP sale allowed non-VIPs to checkout,Promotions,Immediate,Promotions | Immediate
Promo items had no warranty coverage,Promotions,High,Promotions | High
Coupon required minimum account age,Promotions,Medium,Promotions | Medium
Sale price showed only after email signup,Promotions,High,Promotions | High
Price error blamed on 'caching issue',Promotions,Immediate,Promotions | Immediate
Promo excluded certain configurations,Promotions,High,Promotions | High
Coupon required video testimonial,Promotions,Medium,Promotions | Medium
Limited stock showed available at all stores,Promotions,High,Promotions | High
Discount didn't apply to required accessories,Promotions,Immediate,Promotions | Immediate
Promo credit split across future orders,Promotions,High,Promotions | High
Coupon required biometric verification,Promotions,Medium,Promotions | Medium
Sale advertised limited colors but all worked,Promotions,High,Promotions | High
Price showed dynamic pricing fluctuations,Promotions,Immediate,Promotions | Immediate
Promo items had different specs,Promotions,High,Promotions | High
Coupon required friend's purchase first,Promotions,Medium,Promotions | Medium
Early access sale had broken password system,Promotions,High,Promotions | High
Discount terms changed post-launch,Promotions,Immediate,Promotions | Immediate
Package marked 'delivered' but never arrived,Shipping,Immediate,Shipping | Immediate
Carrier left package in obvious theft location,Shipping,High,Shipping | High
Wrong shipping method used despite selection,Shipping,Medium,Shipping | Medium
Address autofill inserted incorrect unit number,Shipping,High,Shipping | High
International shipment stuck in customs,Shipping,Immediate,Shipping | Immediate
Carrier rerouted package to wrong state,Shipping,High,Shipping | High
Signature required but left without signature,Shipping,Medium,Shipping | Medium
Address change requested but ignored,Shipping,High,Shipping | High
Package damaged during transit (crushed box),Shipping,Immediate,Shipping | Immediate
Carrier delivered to neighbor without permission,Shipping,High,Shipping | High
Shipping label printed with wrong zip code,Shipping,Medium,Shipping | Medium
Express shipping took longer than standard,Shipping,High,Shipping | High
Package left in rain without protection,Shipping,Immediate,Shipping | Immediate
Carrier marked 'delivery attempted' but no notice,Shipping,High,Shipping | High
Address confirmation email had typos,Shipping,Medium,Shipping | Medium
Signature confirmation package left unattended,Shipping,High,Shipping | High
International duties higher than calculated,Shipping,Immediate,Shipping | Immediate
Carrier delivered to wrong business hours,Shipping,High,Shipping | High
Shipping weight incorrect causing overcharge,Shipping,Medium,Shipping | Medium
Package scanned at wrong facility repeatedly,Shipping,High,Shipping | High
Address autocomplete removed apartment number,Shipping,Immediate,Shipping | Immediate
Carrier left perishables in hot sun,Shipping,High,Shipping | High
Signature forged on delivery confirmation,Shipping,Medium,Shipping | Medium
Shipping insurance claim denied unfairly,Shipping,High,Shipping | High
Package dimensions misreported by carrier,Shipping,Immediate,Shipping | Immediate
Carrier refused to climb stairs for delivery,Shipping,High,Shipping | High
Address change option disappeared at checkout,Shipping,Medium,Shipping | Medium
Signature required but delivered to wrong person,Shipping,High,Shipping | High
International package returned to sender,Shipping,Immediate,Shipping | Immediate
Carrier left 'fragile' package upside down,Shipping,High,Shipping | High
Shipping cost calculated incorrectly,Shipping,Medium,Shipping | Medium
Package marked 'undeliverable' with good address,Shipping,High,Shipping | High
Address verification rejected valid address,Shipping,Immediate,Shipping | Immediate
Carrier delivered to vacant neighboring property,Shipping,High,Shipping | High
Shipping delay due to carrier mis-sort,Shipping,Medium,Shipping | Medium
Package lost between carrier facilities,Shipping,High,Shipping | High
Address autofill used outdated information,Shipping,Immediate,Shipping | Immediate
Carrier left package visible from street,Shipping,High,Shipping | High
Shipping label damaged during transit,Shipping,Medium,Shipping | Medium
Package delivered to wrong city with similar name,Shipping,High,Shipping | High
Address change deadline passed too quickly,Shipping,Immediate,Shipping | Immediate
Carrier left package at closed business,Shipping,High,Shipping | High
Shipping notification came after delivery,Shipping,Medium,Shipping | Medium
Package scanned as delivered one day early,Shipping,High,Shipping | High
Address system doesn't accept special characters,Shipping,Immediate,Shipping | Immediate
Carrier refused to release without ID present,Shipping,High,Shipping | High
Shipping method downgraded without notice,Shipping,Medium,Shipping | Medium
Package left with unauthorized building staff,Shipping,High,Shipping | High
Address fields rearranged during checkout,Shipping,Immediate,Shipping | Immediate
Carrier delivered to wrong floor in apartment,Shipping,High,Shipping | High
Shipping cost not shown until final step,Shipping,Medium,Shipping | Medium
Package marked 'weather delay' falsely,Shipping,High,Shipping | High
Address auto-correct changed valid input,Shipping,Immediate,Shipping | Immediate
Carrier left package at wrong business entrance,Shipping,High,Shipping | High
Shipping timeline estimates were inaccurate,Shipping,Medium,Shipping | Medium
Package shows 'in transit' for 3 weeks,Shipping,High,Shipping | High
Address system rejected PO Box unnecessarily,Shipping,Immediate,Shipping | Immediate
Carrier delivered to wrong unit in complex,Shipping,High,Shipping | High
Shipping restrictions not disclosed upfront,Shipping,Medium,Shipping | Medium
Package rerouted to carrier's wrong facility,Shipping,High,Shipping | High
Address confirmation didn't show corrections,Shipping,Immediate,Shipping | Immediate
Carrier left package at demolition site,Shipping,High,Shipping | High
Shipping label missing return address,Shipping,Medium,Shipping | Medium
Package dimensions caused oversized fees,Shipping,High,Shipping | High
Address change required phone confirmation,Shipping,Immediate,Shipping | Immediate
Carrier delivered to previous tenant,Shipping,High,Shipping | High
Shipping options disappeared at checkout,Shipping,Medium,Shipping | Medium
Package scanned 'delivered' while on truck,Shipping,High,Shipping | High
Address system doesn't support military addresses,Shipping,Immediate,Shipping | Immediate
Carrier left perishables without refrigeration,Shipping,High,Shipping | High
Shipping price changed after address entered,Shipping,Medium,Shipping | Medium
Package stuck at 'label created' for days,Shipping,High,Shipping | High
Address autofill ignored manual corrections,Shipping,Immediate,Shipping | Immediate
Carrier delivered to wrong rural mailbox,Shipping,High,Shipping | High
Shipping method unavailable after order placed,Shipping,Medium,Shipping | Medium
Package weight changed during transit,Shipping,High,Shipping | High
Address system merged two valid addresses,Shipping,Immediate,Shipping | Immediate
Carrier left package at construction site,Shipping,High,Shipping | High
Shipping deadline passed without pickup,Shipping,Medium,Shipping | Medium
Package contents shifted due to poor packing,Shipping,High,Shipping | High
Address change required faxed request,Shipping,Immediate,Shipping | Immediate
Carrier delivered to similarly named business,Shipping,High,Shipping | High
Shipping restrictions changed post-purchase,Shipping,Medium,Shipping | Medium
Package marked 'delivered' before shipping,Shipping,High,Shipping | High
Address system truncated long street names,Shipping,Immediate,Shipping | Immediate
Carrier left package at wrong dorm building,Shipping,High,Shipping | High
Shipping cost higher than advertised,Shipping,Medium,Shipping | Medium
Package routing added unnecessary stops,Shipping,High,Shipping | High
Address confirmation didn't include country,Shipping,Immediate,Shipping | Immediate
Carrier delivered to wrong military base,Shipping,High,Shipping | High
Shipping speed not honored despite payment,Shipping,Medium,Shipping | Medium
Package scanned at impossible locations,Shipping,High,Shipping | High
Address system rejected valid special characters,Shipping,Immediate,Shipping | Immediate
Carrier left package at foreclosed property,Shipping,High,Shipping | High
Shipping options limited without explanation,Shipping,Medium,Shipping | Medium
Package delivered to vacant vacation home,Shipping,High,Shipping | High
Address change required notarized letter,Shipping,Immediate,Shipping | Immediate
Carrier delivered to wrong church office,Shipping,High,Shipping | High
Shipping insurance didn't cover damage,Shipping,Medium,Shipping | Medium
Package left at community mailbox illegally,Shipping,High,Shipping | High
Address system auto-changed correct input,Shipping,Immediate,Shipping | Immediate
Carrier delivered to wrong hospital department,Shipping,High,Shipping | High
Shipping label had illegible barcode,Shipping,Medium,Shipping | Medium
Package routing skipped nearest facility,Shipping,High,Shipping | High
Address verification failed for new development,Shipping,Immediate,Shipping | Immediate
Carrier left package at wrong school office,Shipping,High,Shipping | High
Shipping method unavailable for gift orders,Shipping,Medium,Shipping | Medium
Package delivered to demolished address,Shipping,High,Shipping | High
Gift message not included as requested,Special Requests,Medium,Special Requests | Medium
Delivery instructions completely ignored,Special Requests,High,Special Requests | High
Personalization misspelled customer's name,Special Requests,Immediate,Special Requests | Immediate
Gift packaging option was unavailable at checkout,Special Requests,Medium,Special Requests | Medium
Driver left package despite 'do not leave' instructions,Special Requests,High,Special Requests | High
Custom engraving had wrong date format,Special Requests,Immediate,Special Requests | Immediate
Requested gift receipt was missing,Special Requests,Medium,Special Requests | Medium
Delivery came on restricted date,Special Requests,High,Special Requests | High
Handwritten note was typed instead,Special Requests,Low,Special Requests | Low
Signature required ignored for alcohol delivery,Special Requests,Immediate,Special Requests | Immediate
Gift message printed on invoice instead of card,Special Requests,Medium,Special Requests | Medium
'Leave at back door' instruction not followed,Special Requests,High,Special Requests | High
Monogram was upside down,Special Requests,Immediate,Special Requests | Immediate
Gift wrapping added creases to product,Special Requests,Medium,Special Requests | Medium
Delivery arrived before requested date,Special Requests,High,Special Requests | High
Custom color request was substituted,Special Requests,Low,Special Requests | Low
Requested call before delivery never came,Special Requests,Immediate,Special Requests | Immediate
Gift note paper quality was poor,Special Requests,Medium,Special Requests | Medium
Delivery left with wrong apartment neighbor,Special Requests,High,Special Requests | High
Personalized message cut off mid-sentence,Special Requests,Immediate,Special Requests | Immediate
Gift option added unexpected charges,Special Requests,Medium,Special Requests | Medium
'Fragile' stickers were missing,Special Requests,High,Special Requests | High
Custom sizing request was ignored,Special Requests,Low,Special Requests | Low
Delivery came during requested blackout hours,Special Requests,Immediate,Special Requests | Immediate
Hand-painted detail was sloppy,Special Requests,Medium,Special Requests | Medium
Gift message contained typos,Special Requests,High,Special Requests | High
Driver rang bell despite 'do not disturb' note,Special Requests,Immediate,Special Requests | Immediate
Custom embroidery had wrong thread color,Special Requests,Medium,Special Requests | Medium
Requested eco-friendly packaging was plastic,Special Requests,High,Special Requests | High
Delivery left in plain view despite instructions,Special Requests,Low,Special Requests | Low
Personalized dates were formatted wrong,Special Requests,Immediate,Special Requests | Immediate
Gift receipt showed original price,Special Requests,Medium,Special Requests | Medium
'Require ID' instruction was ignored,Special Requests,High,Special Requests | High
Custom engraving depth was inconsistent,Special Requests,Immediate,Special Requests | Immediate
Requested morning delivery came at night,Special Requests,Medium,Special Requests | Medium
Gift wrapping color was wrong,Special Requests,High,Special Requests | High
Delivery came to old address after update,Special Requests,Low,Special Requests | Low
